THUMB_pos_X;THUMB_pos_Y;THUMB_pos_Z;MIDDLE_pos_X;MIDDLE_pos_Y;MIDDLE_pos_Z;Distance;MIDDLE_vel;MIDDLE_acc
1007,18;380,41;64,92;1051,19;394,54;63,93;46,24;654,11;8577,5
1012,26;379,25;62,68;1056,52;393,06;61,27;46,38;579,24;7346,5
1016,69;378,21;60,46;1061,12;391,68;58,69;46,45;513,96;6468,07
1020,59;377,26;58,36;1065,12;390,49;56,27;46,5;453,77;5977,36
1023,91;376,42;56,29;1068,56;389,36;54,05;46,54;405,73;5558,7
1026,91;375,61;54,12;1071,59;388,47;51,8;46,56;367,64;5355,39
1029,36;374,9;51,98;1074,14;387,64;49,57;46,62;325,67;5229,59
1031,49;374,22;49,7;1076,09;387,03;47,32;46,47;299,59;5074,31
1033;373,68;47,47;1077,31;386,35;44,65;46,17;278,09;4891,81
1033,98;373,2;45,35;1078,29;386,01;42,32;46,22;248,09;4284,4
1034,59;372,85;43,31;1078,9;385,79;39,99;46,28;229,74;3349,41
1034,86;372,63;41,52;1079,16;385,7;37,82;46,33;211,05;2657,84
1034,95;372,49;39,84;1079,19;385,72;35,78;46,36;190;2579,03
1035,04;372,41;38,3;1079,08;385,79;34,02;46,23;163,22;1683,72
1035;372,32;36,91;1079,07;385,83;32,52;46,3;148,78;1964,54
1035,06;372,27;35,47;1079,09;385,85;31,04;46,29;137,92;1756,15
1035,12;372,23;34,13;1079,09;385,9;29,76;46,25;118,3;1072,33
1035,3;372,24;33,11;1079,21;385,98;28,68;46,22;110,78;512,44
1035,34;372,27;31,89;1079,19;386,07;27,55;46,17;106,91;1044,99
1035,34;372,33;31,01;1079,03;386,19;26,56;46,05;105,83;1267,4
1035,1;372,36;29,93;1078,91;386,23;25,46;46,17;126,85;1589,38
1034,8;372,38;28,75;1078,52;386,24;24,08;46,1;148,57;1770,76
1034,35;372,35;27,76;1078,01;386,23;22,63;46,1;159,93;1294,38
1033,87;372,24;26,39;1077,46;386,21;21,06;46,09;166,72;1421,91
1033,32;372,07;24,93;1076,99;386,1;19,46;46,2;166,47;765,69
1032,74;371,85;23,53;1076,55;385,92;17,87;46,36;162,62;2248,69
1032,27;371,55;21,99;1076,17;385,71;16,33;46,47;149,32;2890,05
1031,95;371,26;20,57;1076,02;385,49;14,96;46,66;125,68;3276,1
1031,65;370,99;19,3;1075,89;385,51;13,84;46,88;71,72;3228,2
1031,49;370,81;18,16;1076,15;385,83;13,57;47,34;37,37;2838,46
1031,57;371,05;18,06;1076,3;385,99;13,44;47,39;15,89;2150,32
1031,64;371,26;18,02;1076,35;386,03;13,43;47,31;6,3;1267,36
1031,67;371,37;17,97;1076,42;386,02;13,39;47,3;5,45;641,73
1031,7;371,43;17,85;1076,45;386,05;13,39;47,28;4,08;886
1031,72;371,49;17,84;1076,47;386,08;13,38;47,29;3,29;113,11
1031,66;371,54;17,81;1076,5;386,09;13,38;47,35;2,28;871,09
1031,59;371,53;17,87;1076,51;386,11;13,38;47,44;3,22;857,11
1031,51;371,51;17,87;1076,55;386,12;13,4;47,56;3,12;1785,22
1031,39;371,45;17,9;1076,55;386,09;13,41;47,69;5,14;3972,44
1031,19;371,36;17,95;1076,6;386,05;13,45;47,93;13,22;5130,85
1030,93;371,21;17,99;1076,77;385,99;13,52;48,37;70,24;4849,01
1030,6;371,02;18,05;1077,7;386,4;14,26;49,69;197,46;3405,2
1030,2;370,75;18,16;1079,84;386,94;15,82;52,27;263,01;1909,63
1029,74;370,44;18,27;1081,85;387,37;17,34;54,8;228,48;1941,19
1029,29;370,13;18,54;1083,4;387,42;18,64;56,81;169,29;2889,02
1028,99;369,89;19,22;1084,21;387,15;19,76;57,85;121,91;4522,7
1028,91;369,62;20,25;1084,46;386,77;20,75;58,14;112,52;4433,99
1028,73;369,3;21,21;1084,49;386,44;21,88;58,34;129,91;2509,02
1028,47;368,94;22,52;1084,43;386,17;23,27;58,56;164,88;2447,2
1027,93;368,52;23,94;1084,65;386,13;25,16;59,4;188,87;3056,46
1027,14;368,02;25,57;1084,56;385,95;27,04;60,16;208;3766,59
1026,25;367,46;27,57;1084,49;385,7;29,29;61,05;246,56;4034,87
1025,18;366,91;30,06;1084,52;385,26;31,93;62,14;285,12;4602,73
1024,04;366,23;32,81;1084,32;384,69;34,9;63,08;335,55;5361,6
1022,81;365,48;36,43;1084,01;383,93;38,48;63,95;397,89;5983,26
1021,31;364,69;40,52;1083,31;382,93;42,59;64,66;448,89;6330,41
